ws_diff,ws_diff_bin,steps_diff
-33.0,"(-48, -16]",-2965.2292307692296
-33.0,"(-48, -16]",-2173.444444444445
-33.0,"(-48, -16]",13998.308571428572
-33.0,"(-48, -16]",-2548.034047442876
-33.0,"(-48, -16]",830.75
-33.0,"(-48, -16]",-79.9250000000002
-33.0,"(-48, -16]",-1239.458082846212
-33.0,"(-48, -16]",-698.4761904761899
-33.0,"(-48, -16]",-5086.769230769231
-33.0,"(-48, -16]",-9510.012307692308
-33.0,"(-48, -16]",-724.0672754847693
-33.0,"(-48, -16]",-1438.4888888888888
-33.0,"(-48, -16]",-370.23352676900026
-33.0,"(-48, -16]",4259.920349121819
-33.0,"(-48, -16]",3128.8826086956524
-33.0,"(-48, -16]",-4997.298072838954
-33.0,"(-48, -16]",1339.8739905104296
-33.0,"(-48, -16]",-1675.2315789473682
-33.0,"(-48, -16]",353.88786157513914
-33.0,"(-48, -16]",-1357.1315789473686
-33.0,"(-48, -16]",-230.46402536434883
-33.0,"(-48, -16]",-505.1052631578948
